cell,binary,pair,pos,rate,think,tick_us,worker_threads,pre_vus,max_vus,cores,exit,iterations,dropped,achieved_per_s,wall_s,task_clock_ms,cycles,instructions,ctx_switches,cpu_migrations,cache_misses
r250000-0s-tick1000-wt16,cand,0,warmup,250000,0s,1000,16,64,128,0-19,0,959377.0,1540470.0,95937.7,10.032,34171.99,44869159080,24010795560,907465,329,167091347
r250000-0s-tick1000-wt16,base,1,1,250000,0s,1000,16,64,128,0-19,0,678169.0,1821529.0,67816.9,11.031,38063.96,50635235940,27145285939,1029256,215,198534979
r250000-0s-tick1000-wt16,cand,1,2,250000,0s,1000,16,64,128,0-19,0,972445.0,1527258.0,97244.5,10.032,33433.74,43895695386,23869060605,904127,205,167644456
r250000-0s-tick1000-wt16,cand,2,1,250000,0s,1000,16,64,128,0-19,0,975544.0,1524272.0,97554.4,10.033,35206.33,46258202735,25019685538,968055,305,171460294
r250000-0s-tick1000-wt16,base,2,2,250000,0s,1000,16,64,128,0-19,0,734317.0,1765597.0,73431.7,11.033,36804.79,49180946410,26562865399,932834,4931,201879412
r250000-0s-tick1000-wt16,base,3,1,250000,0s,1000,16,64,128,0-19,0,693713.0,1806007.0,69371.3,11.033,37835.76,50188010802,27317797937,1025348,239,201931479
r250000-0s-tick1000-wt16,cand,3,2,250000,0s,1000,16,64,128,0-19,0,958240.0,1541704.0,95824.0,10.031,34582.73,45288882713,24272137726,932225,208,164689670
r250000-0s-tick1000-wt16,cand,4,1,250000,0s,1000,16,64,128,0-19,0,968925.0,1530995.0,96892.5,10.031,32857.75,43102605310,23533881968,882274,285,162500909
r250000-0s-tick1000-wt16,base,4,2,250000,0s,1000,16,64,128,0-19,0,676477.0,1823369.0,67647.7,11.033,38416.55,50324669096,27158092502,1027093,540,195290828
r250000-0s-tick1000-wt16,base,5,1,250000,0s,1000,16,64,128,0-19,0,719472.0,1780279.0,71947.2,11.027,36540.42,48165081037,26692399090,954205,365,193979282
r250000-0s-tick1000-wt16,cand,5,2,250000,0s,1000,16,64,128,0-19,0,959786.0,1540135.0,95978.6,10.030,34386.57,44151805560,24365497107,874526,9808,172619002
r50000-1ms-tick1000-wt16,base,0,warmup,50000,1ms,1000,16,512,1024,0-19,0,499948.0,0,49994.8,11.034,20386.45,26856431551,14985570285,454515,10055,137870672
r50000-1ms-tick1000-wt16,cand,0,warmup,50000,1ms,1000,16,512,1024,0-19,0,499903.0,57.0,49990.3,10.032,24469.50,31490853296,16453014910,561520,170,123641898
r50000-1ms-tick1000-wt16,base,1,1,50000,1ms,1000,16,512,1024,0-19,0,499903.0,0,49990.3,11.035,20825.84,26759620207,13852427305,458481,343,119075186
r50000-1ms-tick1000-wt16,cand,1,2,50000,1ms,1000,16,512,1024,0-19,0,499895.0,0,49989.5,10.032,19467.97,25563501781,13836501818,411976,6237,121255256
