cell,binary,pair,pos,rate,think,tick_us,worker_threads,pre_vus,max_vus,cores,exit,iterations,dropped,achieved_per_s,wall_s,task_clock_ms,cycles,instructions,ctx_switches,cpu_migrations,cache_misses
r50000-0s-tick1000-wt16,cand,5,2,50000,0s,1000,16,64,128,0-19,0,499934.0,0,49993.4,10.032,22360.16,35640059526,20132724683,711796,29054,173816477
r150000-0s-tick1000-wt16,base,0,warmup,150000,0s,1000,16,64,128,0-19,0,715471.0,784412.0,71547.1,11.034,33550.21,44817400165,23604300681,869543,2714,191799580
r150000-0s-tick1000-wt16,cand,0,warmup,150000,0s,1000,16,64,128,0-19,0,944166.0,555714.0,94416.6,10.032,35513.11,45635228466,24645265146,968968,314,173653811
r150000-0s-tick1000-wt16,base,1,1,150000,0s,1000,16,64,128,0-19,0,703261.0,796575.0,70326.1,11.035,35340.66,47186273447,24575744718,926492,707,197429052
r150000-0s-tick1000-wt16,cand,1,2,150000,0s,1000,16,64,128,0-19,0,963966.0,535943.0,96396.6,10.035,31156.32,43191940759,23038639172,860007,3256,175555878
r150000-0s-tick1000-wt16,cand,2,1,150000,0s,1000,16,64,128,0-19,0,966046.0,533860.0,96604.6,10.031,33625.20,44755001863,23900886911,908633,853,171144820
r150000-0s-tick1000-wt16,base,2,2,150000,0s,1000,16,64,128,0-19,0,699375.0,800592.0,69937.5,11.033,36108.68,46267491125,24024699216,906611,124,186475754
r150000-0s-tick1000-wt16,base,3,1,150000,0s,1000,16,64,128,0-19,0,687696.0,812145.0,68769.6,11.033,37159.39,49035862454,25987304661,1002229,174,191078247
r150000-0s-tick1000-wt16,cand,3,2,150000,0s,1000,16,64,128,0-19,0,958055.0,541867.0,95805.5,10.030,35276.94,45742432677,24432037154,946735,330,171616688
r150000-0s-tick1000-wt16,cand,4,1,150000,0s,1000,16,64,128,0-19,0,956290.0,543627.0,95629.0,10.032,34079.08,44317769241,23660459152,901220,185,169922338
r150000-0s-tick1000-wt16,base,4,2,150000,0s,1000,16,64,128,0-19,0,698323.0,801527.0,69832.3,11.035,36152.76,47587337917,24889200907,941130,160,187223113
r150000-0s-tick1000-wt16,base,5,1,150000,0s,1000,16,64,128,0-19,0,693364.0,806575.0,69336.4,11.034,36352.17,47194131450,24755410542,916082,5540,190535290
r150000-0s-tick1000-wt16,cand,5,2,150000,0s,1000,16,64,128,0-19,0,955689.0,544296.0,95568.9,10.033,35054.11,45073421329,24400512588,954770,223,172597425
r250000-0s-tick1000-wt16,base,0,warmup,250000,0s,1000,16,64,128,0-19,0,708281.0,1791664.0,70828.1,11.034,37367.90,49352991505,26190693168,956393,316,198376623
r250000-0s-tick1000-wt16,cand,0,warmup,250000,0s,1000,16,64,128,0-19,0,955346.0,1544606.0,95534.6,10.034,34390.08,45081549621,23952095344,926047,262,167188666
r250000-0s-tick1000-wt16,base,1,1,250000,0s,1000,16,64,128,0-19,0,721442.0,1778276.0,72144.2,11.034,36962.07,48805167870,26058956792,933570,352,205505637
r250000-0s-tick1000-wt16,cand,1,2,250000,0s,1000,16,64,128,0-19,0,971063.0,1528654.0,97106.3,10.031,34303.12,44543256599,23912084550,912323,324,172804566
r250000-0s-tick1000-wt16,cand,2,1,250000,0s,1000,16,64,128,0-19,0,967763.0,1532205.0,96776.3,10.032,33831.94,45156839604,23845465476,910017,295,170639455
r250000-0s-tick1000-wt16,base,2,2,250000,0s,1000,16,64,128,0-19,0,719961.0,1779993.0,71996.1,11.032,37567.81,48963696512,26303983689,948645,152,199546224
r250000-0s-tick1000-wt16,base,3,1,250000,0s,1000,16,64,128,0-19,0,726174.0,1773602.0,72617.4,11.034,36694.18,49191317097,26863149738,891052,19893,212183241
r250000-0s-tick1000-wt16,cand,3,2,250000,0s,1000,16,64,128,0-19,0,948476.0,1551490.0,94847.6,10.032,35075.53,45303577407,24933416108,933045,8510,177878066
r250000-0s-tick1000-wt16,cand,4,1,250000,0s,1000,16,64,128,0-19,0,953076.0,1546758.0,95307.6,10.032,34425.02,44339682943,23799302637,897709,2160,168876445
r250000-0s-tick1000-wt16,base,4,2,250000,0s,1000,16,64,128,0-19,0,708104.0,1791778.0,70810.4,11.032,37532.13,49076257586,26191727705,938459,3104,197705357
r250000-0s-tick1000-wt16,base,5,1,250000,0s,1000,16,64,128,0-19,0,700502.0,1799348.0,70050.2,11.035,37977.68,49220112449,26145123012,947799,423,196991964
r250000-0s-tick1000-wt16,cand,5,2,250000,0s,1000,16,64,128,0-19,0,966129.0,1533653.0,96612.9,10.034,34293.13,43525630715,23470330349,883075,310,167978513
r50000-1ms-tick1000-wt16,base,0,warmup,50000,1ms,1000,16,512,1024,0-19,0,499941.0,0,49994.1,11.033,23964.28,30812541808,16420162182,590535,241,127671778
r50000-1ms-tick1000-wt16,cand,0,warmup,50000,1ms,1000,16,512,1024,0-19,0,499906.0,35.0,49990.6,10.033,89485.32,142836518727,75641390971,3313826,261,334504750
r50000-1ms-tick1000-wt16,base,1,1,50000,1ms,1000,16,512,1024,0-19,0,499901.0,0,49990.1,11.032,20559.52,26799640219,13854316515,463475,340,119367565
r50000-1ms-tick1000-wt16,cand,1,2,50000,1ms,1000,16,512,1024,0-19,0,499909.0,0,49990.9,10.031,88082.49,185429467336,94503958647,4258014,16766,425799474
r50000-1ms-tick1000-wt16,cand,2,1,50000,1ms,1000,16,512,1024,0-19,0,499905.0,0,49990.5,10.029,87878.47,188301498039,96696289173,4386356,1437,440332447
r50000-1ms-tick1000-wt16,base,2,2,50000,1ms,1000,16,512,1024,0-19,0,499900.0,0,49990.0,11.034,13676.28,18960843391,10034461438,269831,7893,110850222
r50000-1ms-tick1000-wt16,base,3,1,50000,1ms,1000,16,512,1024,0-19,0,499856.0,0,49985.6,11.031,21853.27,28702740767,15310845641,518695,2002,129455484
r50000-1ms-tick1000-wt16,cand,3,2,50000,1ms,1000,16,512,1024,0-19,0,499950.0,0,49995.0,10.035,88913.79,146280483512,77564648588,3417666,237,342121194
r50000-1ms-tick1000-wt16,cand,4,1,50000,1ms,1000,16,512,1024,0-19,0,499954.0,0,49995.4,10.034,89964.11,134097582854,71899093040,3110770,134,317858411
